iter	Logloss
174	0.6651571219
175	0.6650989583
176	0.6650449874
177	0.6649789516
178	0.6648856692
179	0.6648357956
180	0.6647299211
181	0.6644493409
182	0.6643707616
183	0.6641985583
184	0.6641478953
185	0.6640792707
186	0.6640094904
187	0.6639295079
188	0.6638165301
189	0.6637047159
190	0.663577295
191	0.6634792602
192	0.663399354
193	0.6632945966
194	0.6632289006
195	0.6631845396
196	0.6631197663
197	0.6630481874
198	0.6629344768
199	0.6628663088
200	0.6627557984
201	0.6625796362
202	0.6625200893
203	0.6623495463
204	0.6622656412
205	0.6621938868
206	0.6621338053
207	0.6620797488
208	0.6620163633
209	0.6619601268
210	0.6618412168
211	0.6617092872
212	0.6616340132
213	0.661550316
214	0.6614643262
215	0.6612995128
216	0.661173635
217	0.6611168519
218	0.6610253826
219	0.6609092585
220	0.6608468026
221	0.6607813399
222	0.6606317576
223	0.6605153208
224	0.6603205851
225	0.6602378006
226	0.660185513
227	0.6601370779
228	0.659954937
229	0.6599007488
230	0.6598232474
231	0.6597678251
232	0.6596764884
233	0.6595626714
234	0.659507207
235	0.6594131765
236	0.659356934
237	0.6593113521
238	0.6592350437
239	0.6591795353
240	0.659084581
241	0.6590300393
242	0.6589812553
243	0.658897145
244	0.6587477567
245	0.658624183
246	0.6585443958
247	0.6584281077
248	0.6582418296
249	0.6581999618
250	0.6580489136
251	0.6579190077
252	0.6578659443
253	0.6578117775
254	0.6576926456
255	0.6575814617
256	0.6575258111
257	0.6574774377
258	0.657447347
259	0.6573410694
260	0.6571922382
261	0.6570474514
262	0.6570099642
263	0.6567741913
264	0.6567090126
265	0.6565707816
266	0.6565109603
267	0.6563187899
268	0.6562634131
269	0.656187168
270	0.6561184125
271	0.6560069827
272	0.6559649465
273	0.6559272615
274	0.6558593217
275	0.6557994741
276	0.6556224407
277	0.6555756045
278	0.6555199426
279	0.6554681171
280	0.6553668725
281	0.6553139476
282	0.6552423218
283	0.6549497933
284	0.6547781295
285	0.6547104207
286	0.6545779684
287	0.6545336368
288	0.6544823144
289	0.6544115311
290	0.6543415887
291	0.654279376
292	0.6542338593
293	0.6541433268
294	0.6540884294
295	0.6539110157
296	0.6538046149
297	0.6536140593
298	0.6535599057
299	0.6534216865
300	0.6533423425
301	0.6532368882
302	0.6531376531
303	0.6530525993
304	0.6529367596
305	0.6528917511
306	0.6527783865
307	0.6527195259
308	0.6526816552
309	0.652643576
310	0.6525895521
311	0.6525117058
312	0.65246452
313	0.6523921798
314	0.652356118
315	0.6523016769
316	0.6522341905
317	0.6521459172
318	0.6521019589
319	0.6520307158
320	0.6518915711
321	0.6518442865
322	0.6517858069
323	0.6517519766
324	0.6516897577
325	0.6516513617
326	0.6516018439
327	0.6515476658
328	0.6514975796
329	0.6514422471
330	0.6513620035
331	0.6513066745
332	0.6512560604
333	0.6512083731
334	0.6511650211
335	0.6511051279
336	0.6509992889
337	0.6509133812
338	0.6508462849
339	0.6507628821
340	0.6507262344
341	0.6506612213
342	0.6506236797
343	0.6505684645
344	0.6505236824
345	0.6504286313
346	0.6503812038
347	0.6502767497
348	0.6501339574
349	0.650094389
350	0.649984458
351	0.6499596883
352	0.6497931025
353	0.6497394164
354	0.6497105143
355	0.6496686587
356	0.649498281
357	0.6493444202
358	0.6491963539
359	0.6491317425
360	0.649010315
361	0.6489811872
362	0.6489036191
363	0.6488140569
364	0.6487746532
365	0.6486399323
366	0.6485924956
367	0.6485096919
368	0.6483548298
369	0.6483013082
370	0.6482264036
371	0.6481882738
372	0.6481267781
373	0.6480217687
374	0.6479899695
375	0.6479184103
376	0.6478022262
377	0.6476967302
378	0.6476591024
379	0.6476186038
380	0.6475823134
381	0.647496859
382	0.6474386242
383	0.6473090739
384	0.6472680651
385	0.6472257467
386	0.6471547503
387	0.6471221122
388	0.6470732974
389	0.6470415743
390	0.6469520047
391	0.6468965977
392	0.6468449301
393	0.6467703017
394	0.6466957809
395	0.6466000466
396	0.6465373776
397	0.6464993081
398	0.6464725203
399	0.6463967889
400	0.6463171538
401	0.6462722679
402	0.6462350722
403	0.6462010869
404	0.646136105
405	0.646064623
406	0.6459795975
407	0.6458726286
408	0.6457720719
409	0.6456932987
410	0.6456456095
411	0.6455775296
412	0.6454846525
413	0.6454333532
414	0.6453573968
415	0.6452803861
416	0.6452573872
417	0.6452289485
418	0.6452009704
419	0.6451591066
420	0.645018699
421	0.6448883215
422	0.6448674082
423	0.6447860923
424	0.6447307875
425	0.6446861858
426	0.6446223446
427	0.6445775664
428	0.6444481453
429	0.644412778
430	0.644370725
431	0.6442878398
432	0.6441529545
433	0.6441261937
434	0.6440789334
435	0.644001993
436	0.6439295381
437	0.6438799195
438	0.6437806541
439	0.643705004
440	0.6436504602
441	0.643500064
442	0.6434338063
443	0.643354268
444	0.643259956
445	0.6431802669
446	0.6431204295
447	0.643053663
448	0.6430227947
449	0.6429558316
450	0.6429107636
451	0.642814822
452	0.6427667803
453	0.6427324774
454	0.6426514904
455	0.6426266594
456	0.6425429397
457	0.6425168853
458	0.6424404056
459	0.6423974118
460	0.642341654
461	0.6423100227
462	0.6422149517
463	0.6421604851
464	0.6421156549
465	0.6420466677
466	0.6419919939
467	0.6419539371
468	0.6419127107
469	0.6418875039
470	0.6418611314
471	0.6418230348
472	0.6417002458
473	0.6416340902
474	0.6415496187
475	0.6414216032
476	0.6413950643
477	0.6413237275
478	0.6412732604
479	0.6412413101
480	0.6411809144
481	0.6411481921
482	0.6411084963
483	0.6409325869
484	0.6408354061
485	0.640781773
486	0.6407501316
487	0.640672168
488	0.6405884583
489	0.6405195398
490	0.6404288088
491	0.6403970622
492	0.6403658149
493	0.6402499853
494	0.6401908379
495	0.6401036447
496	0.6400659046
497	0.6399690576
498	0.6399451301
499	0.6399185278
500	0.6398880478
501	0.6398567931
502	0.6398285263
503	0.6397932175
504	0.639763155
505	0.6397248634
506	0.639538598
507	0.639459229
508	0.6393874895
509	0.6393096911
510	0.6392824843
511	0.6392384814
512	0.6391773227
513	0.6391487031
514	0.6390572575
515	0.6390360979
516	0.6389543253
517	0.6389255636
518	0.6387904372
519	0.6386871406
520	0.638612741
521	0.6385440734
522	0.6384876929
523	0.6384004641
524	0.6383314125
525	0.6382539374
526	0.6382103818
527	0.6381781227
528	0.6381348485
529	0.6380747543
530	0.6379816946
531	0.6379486495
532	0.6379158041
533	0.6378837887
534	0.637819026
535	0.6377572163
536	0.6377208865
537	0.6376981879
538	0.6376196048
539	0.6375524167
540	0.637496322
541	0.6374197488
542	0.6373817048
543	0.6373416666
544	0.6372140444
545	0.6371641432
546	0.6371446289
547	0.6371071115
548	0.6370192913
549	0.6369842213
550	0.636936497
551	0.6368638247
552	0.6368114322
553	0.6367218642
554	0.6366161505
555	0.6365364994
556	0.6364986416
557	0.6364652441
558	0.6363713355
559	0.6363353649
560	0.6362599826
561	0.6361650418
562	0.6361114079
563	0.6360364787
564	0.6359165172
565	0.635890543
566	0.6358261866
567	0.635788202
568	0.6357616084
569	0.6357380673
570	0.6357039577
571	0.6356713994
572	0.635576199
573	0.6355266309
574	0.6355036589
575	0.6354417158
576	0.6354025301
577	0.6353799821
578	0.6353394003
579	0.635311239
580	0.6352185758
581	0.6351000081
582	0.6350386628
583	0.634977446
584	0.6349591419
585	0.6349337146
586	0.6348804947
587	0.63479178
588	0.6347577457
589	0.6346752767
590	0.6346482236
591	0.6346126445
592	0.6345891777
593	0.6345195863
594	0.6344650069
595	0.6344340068
596	0.6343352328
597	0.6342801964
598	0.6341881329
599	0.6341192889
600	0.6340338641
601	0.6340009285
602	0.6339602302
603	0.6339003075
604	0.6338737498
605	0.6338508215
606	0.6338261181
607	0.6337405291
608	0.6337012874
609	0.6335868652
610	0.6335072519
611	0.6334301897
612	0.6334121772
613	0.6333566245
614	0.6332941233
615	0.6332021772
616	0.6331765549
617	0.633075026
618	0.6330466805
619	0.6329966039
620	0.6329530538
621	0.6328695018
622	0.632766175
623	0.6326572291
624	0.6326127634
625	0.6325874515
626	0.6325534304
627	0.6325053788
628	0.6323844638
629	0.6323147497
630	0.6322896926
631	0.6322607985
632	0.6322221611
633	0.6321915589
634	0.6321511227
635	0.632093234
636	0.6320402866
637	0.6320095052
638	0.6319906222
639	0.6319135199
640	0.631882537
641	0.6318518853
642	0.6317659227
643	0.6317365091
644	0.6317065497
645	0.6316417635
646	0.6316075344
647	0.6315402967
648	0.6314464631
649	0.6313942772
650	0.6313226396
651	0.631294678
652	0.6312656206
653	0.6312432584
654	0.631209415
655	0.6311200384
656	0.6310506085
657	0.6309950748
658	0.6309510158
659	0.6309179452
660	0.6308431683
661	0.6308083972
662	0.6307726494
663	0.6306904198
664	0.6306288316
665	0.6305616944
666	0.630522811
667	0.6304341381
668	0.6303188995
669	0.6302981218
670	0.6301800608
671	0.63015807
672	0.630136166
673	0.6300805905
674	0.6300590439
675	0.6299880605
676	0.6298976938
677	0.6298337108
678	0.62977599
679	0.6296631642
680	0.6295961646
681	0.6295667614
682	0.6295320416
683	0.6294243009
684	0.6293749026
685	0.6293464415
686	0.6292913679
687	0.629228453
688	0.6291629686
689	0.6291416613
690	0.629081966
691	0.6290506586
692	0.6289617575
693	0.6288302004
694	0.6288013726
695	0.6287210745
696	0.6286404563
697	0.6286170914
698	0.628588913
699	0.6285196055
700	0.6284723631
701	0.6284314656
702	0.6283642057
703	0.6282888189
704	0.6282231717
705	0.6281802016
706	0.6280871299
707	0.628050353
708	0.6279957198
709	0.6279681333
710	0.6279135214
711	0.6278484649
712	0.6277712996
713	0.627706932
714	0.6276597422
715	0.6276434168
716	0.6275373172
717	0.6274767432
718	0.6274536076
719	0.627390601
720	0.6273733614
721	0.6272834239
722	0.627193881
723	0.6271699553
724	0.6270985388
725	0.627084024
726	0.6270568604
727	0.6270329549
728	0.6270048956
729	0.6269527027
730	0.6269296416
731	0.6268375253
732	0.6267837301
733	0.6266771034
734	0.626653143
735	0.626590014
736	0.6265627003
737	0.626531243
738	0.6265043228
739	0.6264698687
740	0.626437722
741	0.6263768518
742	0.6263482222
743	0.6263047467
744	0.6262714116
745	0.6262104339
746	0.6261460451
747	0.6261189872
748	0.6260999634
749	0.626069088
750	0.6259789796
751	0.6259534951
752	0.625926497
753	0.6259103841
754	0.625814746
755	0.6257437919
756	0.6256655854
757	0.6256130749
758	0.6255656665
759	0.6255321112
760	0.6254753598
761	0.6254575041
762	0.6253892615
763	0.6253415507
764	0.6253181505
765	0.6252474204
766	0.6251985652
767	0.6251061168
768	0.6250718501
769	0.6250483841
770	0.6250296869
771	0.6249824127
772	0.6249577495
773	0.6248714565
774	0.6247637375
775	0.6247102364
776	0.6246905089
777	0.6246037412
778	0.6245507005
779	0.6245029868
780	0.6244288653
781	0.6243455196
782	0.624279118
783	0.6242405281
784	0.6241354082
785	0.6240613158
786	0.6240264649
787	0.6240090393
788	0.6239794236
789	0.6239620567
790	0.623887126
791	0.6238568946
792	0.6237876008
793	0.6237526456
794	0.6237044596
795	0.6236746117
796	0.6236332133
797	0.6236054643
798	0.6235645966
799	0.6235132627
