iter	Passed	Remaining
401	19236	19045
402	19274	18987
403	19337	18954
404	19391	18912
405	19435	18860
406	19474	18804
407	19522	18756
408	19573	18712
409	19606	18650
410	19642	18590
411	19678	18531
412	19718	18477
413	19753	18417
414	19795	18364
415	19831	18305
416	19867	18247
417	19908	18193
418	19946	18137
419	19990	18087
420	20031	18033
421	20068	17975
422	20113	17926
423	20167	17884
424	20202	17826
425	20239	17768
426	20283	17718
427	20337	17676
428	20385	17629
429	20426	17576
430	20463	17519
431	20509	17470
432	20580	17443
433	20634	17401
434	20692	17362
435	20735	17311
436	20772	17254
437	20816	17204
438	20852	17147
439	20893	17094
440	20926	17035
441	20967	16982
442	21012	16932
443	21062	16887
444	21101	16833
445	21144	16782
446	21182	16727
447	21234	16683
448	21282	16637
449	21347	16603
450	21420	16575
451	21500	16553
452	21572	16524
453	21632	16486
454	21699	16453
455	21782	16432
456	21872	16416
457	21924	16371
458	21960	16314
459	22000	16260
460	22037	16205
461	22086	16158
462	22128	16106
463	22166	16051
464	22205	15997
465	22240	15940
466	22275	15883
467	22316	15831
468	22367	15785
469	22440	15756
470	22521	15731
471	22607	15710
472	22695	15690
473	22771	15661
474	22858	15640
475	22935	15611
476	22996	15572
477	23057	15532
478	23113	15489
479	23159	15439
480	23207	15391
481	23241	15333
482	23285	15282
483	23337	15236
484	23377	15183
485	23413	15127
486	23450	15071
487	23506	15028
488	23564	14986
489	23603	14932
490	23660	14890
491	23712	14844
492	23794	14817
493	23851	14774
494	23891	14721
495	23933	14669
496	23972	14614
497	24013	14562
498	24046	14505
499	24084	14450
500	24124	14397
501	24172	14349
502	24204	14291
503	24279	14259
504	24340	14218
505	24377	14164
506	24414	14109
507	24456	14057
508	24501	14007
509	24536	13952
510	24583	13903
511	24634	13856
512	24679	13807
513	24729	13759
514	24780	13713
515	24834	13668
516	24898	13628
517	24950	13582
518	25020	13546
519	25099	13515
520	25176	13482
521	25220	13431
522	25258	13377
523	25309	13330
524	25356	13282
525	25403	13233
526	25441	13179
527	25483	13127
528	25533	13080
529	25591	13037
530	25643	12990
531	25693	12943
532	25742	12895
533	25783	12843
534	25821	12790
535	25864	12739
536	25899	12684
537	25936	12630
538	25979	12580
539	26046	12540
540	26082	12486
541	26120	12433
542	26158	12380
543	26209	12333
544	26258	12285
545	26296	12233
546	26346	12185
547	26390	12135
548	26439	12087
549	26473	12033
550	26510	11980
551	26553	11929
552	26592	11877
553	26625	11822
554	26665	11771
555	26711	11722
556	26758	11673
557	26802	11624
558	26846	11574
559	26879	11519
560	26914	11466
561	26971	11422
562	27030	11378
563	27101	11340
564	27177	11304
565	27277	11277
566	27395	11257
567	27473	11221
568	27537	11179
569	27601	11137
570	27673	11098
571	27726	11051
572	27789	11009
573	27845	10963
574	27883	10910
575	27931	10862
576	27968	10809
577	28008	10757
578	28049	10706
579	28089	10654
580	28128	10602
581	28174	10553
582	28225	10505
583	28268	10455
584	28317	10407
585	28364	10358
586	28409	10308
587	28460	10261
588	28503	10210
589	28547	10160
590	28594	10112
591	28653	10067
592	28700	10018
593	28735	9965
594	28777	9914
595	28836	9870
596	28884	9821
597	28952	9780
598	29007	9733
599	29067	9689
600	29119	9641
601	29178	9596
602	29220	9546
603	29265	9496
604	29300	9443
605	29355	9397
606	29399	9347
607	29449	9299
608	29487	9247
609	29540	9201
610	29587	9152
611	29628	9101
612	29667	9050
613	29708	8999
614	29752	8949
615	29802	8902
616	29844	8851
617	29884	8800
618	29918	8748
619	29963	8699
620	30010	8650
621	30067	8604
622	30107	8553
623	30152	8504
624	30202	8456
625	30247	8407
626	30294	8358
627	30332	8307
628	30372	8257
629	30412	8206
630	30446	8154
631	30487	8104
632	30530	8054
633	30567	8003
634	30602	7951
635	30637	7900
636	30673	7848
637	30712	7798
638	30750	7747
639	30785	7696
640	30826	7646
641	30872	7597
642	30927	7551
643	30971	7502
644	31004	7450
645	31041	7400
646	31077	7349
647	31117	7299
648	31154	7248
649	31187	7197
650	31224	7146
651	31267	7097
652	31310	7048
653	31352	6999
654	31386	6948
655	31428	6898
656	31463	6848
657	31496	6797
658	31539	6748
659	31581	6699
660	31617	6648
661	31658	6599
662	31696	6549
663	31745	6502
664	31833	6462
665	31942	6426
666	32048	6390
667	32129	6348
668	32205	6306
669	32287	6264
670	32348	6219
671	32403	6172
672	32452	6123
673	32494	6074
674	32541	6026
675	32604	5980
676	32644	5930
677	32677	5879
678	32715	5830
679	32760	5781
680	32816	5734
681	32872	5687
682	32913	5638
683	32947	5587
684	32985	5537
685	33022	5487
686	33056	5437
687	33098	5388
688	33145	5339
689	33191	5291
690	33234	5242
691	33271	5192
692	33307	5142
693	33366	5096
694	33401	5046
695	33444	4997
696	33489	4948
697	33535	4900
698	33589	4853
699	33671	4810
700	33738	4764
701	33802	4718
702	33857	4671
703	33908	4623
704	33952	4575
705	34022	4529
706	34067	4481
707	34108	4432
708	34148	4382
709	34186	4333
710	34232	4285
711	34269	4235
712	34319	4187
713	34365	4139
714	34406	4090
715	34441	4040
716	34480	3991
717	34532	3943
718	34574	3895
719	34692	3854
720	34748	3807
721	34797	3759
722	34839	3710
723	34878	3661
724	34920	3612
725	34954	3562
726	34990	3513
727	35030	3464
728	35067	3415
729	35100	3365
730	35157	3318
731	35220	3271
732	35273	3224
733	35326	3176
734	35365	3127
735	35401	3078
736	35439	3029
737	35482	2980
738	35519	2931
739	35556	2882
740	35595	2834
741	35631	2785
742	35672	2736
743	35720	2688
744	35767	2640
745	35805	2591
746	35841	2542
747	35880	2494
748	35918	2445
749	35953	2396
750	35987	2348
751	36022	2299
752	36056	2250
